3850889,32,25,25,26,39,1
3854046,27,24,32,28,15,1
3855224,30,19,16,29,30,1
3868023,24,27,14,16,28,1
3868145,32,23,21,22,32,1
3869840,23,23,23,28,28,1
3915815,23,26,26,32,29,1
3922331,24,28,25,28,26,2
3922519,23,24,23,25,24,1
3923829,28,30,25,31,21,2
3932228,27,30,19,26,19,2
3933733,32,23,14,30,28,1
3950692,27,28,25,35,16,1
3957183,23,24,23,25,25,1
3964628,26,23,27,25,33,1
3964657,28,18,12,31,35,2
3967734,29,28,22,30,24,1
3988577,31,25,29,32,24,1
4000910,17,27,20,34,21,2
4011120,25,15,24,31,28,2
4011387,22,20,11,35,37,1
4020319,30,21,20,18,30,1
4031077,17,37,13,25,17,2
4039565,30,26,33,37,18,1
4046818,29,13,23,23,34,1
4071793,40,45,22,35,13,1
4074943,25,38,25,22,33,1
4077349,31,30,27,31,33,1
4085533,29,38,43,48,7,1
4085656,26,32,27,27,17,1
4094103,25,23,24,24,25,1
4097179,24,34,30,32,21,1
4104354,31,20,22,26,21,1
4107509,23,29,33,25,26,1
4109365,30,20,16,24,38,2
4117016,27,28,20,30,32,2
4122097,27,22,29,33,28,1
4142047,35,25,14,13,31,1
4146925,33,33,23,24,48,2
4163686,24,30,24,32,22,1
4164428,24,36,37,15,30,2
4178594,26,27,26,19,27,1
4178742,33,24,14,25,26,1
4180198,37,22,20,17,35,1
4186030,24,25,26,27,21,2
4186494,25,24,25,23,22,1
4186576,24,30,34,28,19,1
4186740,23,37,26,28,29,1
4189316,27,15,20,31,33,1
4195473,33,30,22,19,27,2
6218980,33,29,24,40,20,2
6224156,26,25,24,27,24,2
6231511,27,30,25,29,18,1
6235421,35,30,21,30,37,2
6237437,28,18,18,24,48,2
6237728,25,13,24,22,47,2
6239103,30,32,25,26,24,1
6239164,25,31,12,19,25,2
6253064,19,24,19,25,34,1
6253081,24,23,25,24,25,1
6254204,30,39,31,26,17,1
6254713,26,29,24,24,31,1
6255191,25,25,28,28,20,2
6256009,30,18,22,20,29,1
6261283,33,32,13,18,31,1
6272233,38,31,39,40,32,1
6274266,31,23,24,31,18,1
6285214,23,19,18,21,35,1
6301373,32,19,22,28,39,1
6319206,28,28,30,35,17,2
6326705,41,33,33,34,34,2
6326987,28,18,26,27,32,1
6331933,27,15,8,12,41,1
6335786,36,21,9,22,34,2
6367422,24,20,18,26,27,1
6380393,30,26,27,27,26,2
6380839,32,28,30,28,11,1
6392689,24,28,27,24,36,2
6396404,27,32,24,25,34,1
6411256,26,34,17,15,29,2
6428964,33,27,7,19,40,1
6433524,36,25,21,25,26,1
6436191,23,11,10,29,47,1
6461361,38,35,38,28,29,2
6474595,32,28,21,17,37,1
6478817,23,17,16,25,33,2
6481442,22,28,27,21,28,1
6493910,35,34,35,33,20,1
6494138,28,12,0,20,34,1
6546264,34,17,16,29,45,2
6557054,17,25,20,29,23,2
6559687,28,40,39,30,22,1
6568435,29,21,23,23,34,1
6568552,30,33,26,26,26,2
6577217,36,32,22,36,8,1
6582873,24,19,21,25,26,2
6594620,37,34,24,29,28,2
6594904,44,26,23,16,36,2
6604559,24,23,27,27,29,2
6605144,36,25,21,20,37,2
6605282,27,28,22,29,36,1
6605293,19,31,19,31,23,1
6611410,23,36,23,33,28,2
6612881,25,20,22,26,26,2
6620894,27,30,27,29,20,2
6631717,20,27,17,20,29,1
6651959,32,28,37,24,41,2
6653083,24,18,29,22,34,2
6653848,22,29,26,22,28,1
6655759,26,25,25,24,28,1
6658877,30,25,25,28,33,2
6660996,27,20,6,23,39,1
6675619,22,16,14,24,29,2
6675891,31,37,23,38,26,1
6690192,28,31,29,26,30,1
6696722,35,22,23,27,30,1
6727129,22,11,12,24,39,2
6728743,26,14,18,27,33,2
6728873,28,24,31,29,24,2
6744861,23,23,22,23,31,2
6748828,24,27,14,31,16,1
6754684,40,29,19,39,36,2
6770571,22,22,22,30,30,1
6771955,33,31,29,32,19,1
6775005,24,30,33,24,22,1
6781019,22,31,23,26,33,2
6791829,29,27,22,17,22,1
6794893,25,23,25,24,25,1
6795938,32,31,22,32,23,2
6803773,28,22,20,30,32,1
6805679,30,20,16,23,36,2
6813979,23,30,21,33,17,2
6821169,27,21,18,22,29,2
6845965,31,26,37,29,33,2
6847026,22,19,22,23,29,1
6876464,21,27,22,23,24,1
6893273,40,28,10,27,29,2
6899246,38,29,26,33,26,1
6907866,23,31,28,30,17,1
6917766,25,35,35,33,34,2
6934774,30,13,12,31,22,1
6977046,38,31,26,20,39,1
